experiment,label,feature_set,split,holdout,model,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix
visual_all,label_acacia_visual,embeddings_plus_area,random,,logistic_c0.5,280,120,"{""0"": 145, ""1"": 135}","{""0"": 62, ""1"": 58}",0.7416666666666667,0.7433259176863182,0.741505107358766,"[[43, 19], [12, 46]]"
visual_all,label_acacia_visual,embeddings_plus_area,random,,svc_linearish,280,120,"{""0"": 145, ""1"": 135}","{""0"": 62, ""1"": 58}",0.75,0.7513904338153504,0.7499305362600723,"[[44, 18], [12, 46]]"
visual_all,label_acacia_visual,embeddings_plus_area,random,,svc_rbf_c0.5,280,120,"{""0"": 145, ""1"": 135}","{""0"": 62, ""1"": 58}",0.7583333333333333,0.7600111234705228,0.7581821972065874,"[[44, 18], [11, 47]]"
visual_all,label_acacia_visual,embeddings_plus_area,random,,rf_leaf3,280,120,"{""0"": 145, ""1"": 135}","{""0"": 62, ""1"": 58}",0.7666666666666667,0.7675194660734149,0.7666666666666667,"[[46, 16], [12, 46]]"
visual_all,label_acacia_visual,embeddings_plus_area,random,,extra_leaf3,280,120,"{""0"": 145, ""1"": 135}","{""0"": 62, ""1"": 58}",0.75,0.7502780867630701,0.7499305362600722,"[[46, 16], [14, 44]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S1,logistic_c0.1,267,133,"{""0"": 121, ""1"": 146}","{""0"": 86, ""1"": 47}",0.6917293233082706,0.6265462642256309,0.6308806606647261,"[[73, 13], [28, 19]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S1,logistic_c0.5,267,133,"{""0"": 121, ""1"": 146}","{""0"": 86, ""1"": 47}",0.6691729323308271,0.5656853043047996,0.5473391089108911,"[[79, 7], [37, 10]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S1,svc_linearish,267,133,"{""0"": 121, ""1"": 146}","{""0"": 86, ""1"": 47}",0.6917293233082706,0.5879515091538843,0.5736179529282976,"[[81, 5], [36, 11]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S1,svc_rbf_c0.5,267,133,"{""0"": 121, ""1"": 146}","{""0"": 86, ""1"": 47}",0.5413533834586466,0.5633349826818407,0.5375890567113137,"[[42, 44], [17, 30]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S1,rf_leaf3,267,133,"{""0"": 121, ""1"": 146}","{""0"": 86, ""1"": 47}",0.46616541353383456,0.5051954477981198,0.46604467062482324,"[[32, 54], [17, 30]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S1,extra_leaf3,267,133,"{""0"": 121, ""1"": 146}","{""0"": 86, ""1"": 47}",0.5112781954887218,0.5690252350321623,0.5108357381316131,"[[32, 54], [11, 36]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S2,logistic_c0.1,262,138,"{""0"": 131, ""1"": 131}","{""0"": 76, ""1"": 62}",0.6231884057971014,0.6356112054329373,0.6219178082191781,"[[39, 37], [15, 47]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S2,logistic_c0.5,262,138,"{""0"": 131, ""1"": 131}","{""0"": 76, ""1"": 62}",0.6666666666666666,0.6676570458404074,0.6655426765015806,"[[50, 26], [20, 42]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S2,svc_linearish,262,138,"{""0"": 131, ""1"": 131}","{""0"": 76, ""1"": 62}",0.6231884057971014,0.6162988115449914,0.6166666666666667,"[[52, 24], [28, 34]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S2,svc_rbf_c0.5,262,138,"{""0"": 131, ""1"": 131}","{""0"": 76, ""1"": 62}",0.4855072463768116,0.5269524617996604,0.41128402331310454,"[[9, 67], [4, 58]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S2,rf_leaf3,262,138,"{""0"": 131, ""1"": 131}","{""0"": 76, ""1"": 62}",0.463768115942029,0.5042444821731749,0.3899641577060932,"[[8, 68], [6, 56]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S2,extra_leaf3,262,138,"{""0"": 131, ""1"": 131}","{""0"": 76, ""1"": 62}",0.463768115942029,0.5042444821731749,0.3899641577060932,"[[8, 68], [6, 56]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S3,logistic_c0.1,307,93,"{""0"": 178, ""1"": 129}","{""0"": 29, ""1"": 64}",0.4946236559139785,0.4913793103448276,0.47495495495495493,"[[14, 15], [32, 32]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S3,logistic_c0.5,307,93,"{""0"": 178, ""1"": 129}","{""0"": 29, ""1"": 64}",0.5806451612903226,0.5350215517241379,0.5319396051103369,"[[12, 17], [22, 42]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S3,svc_linearish,307,93,"{""0"": 178, ""1"": 129}","{""0"": 29, ""1"": 64}",0.5483870967741935,0.5115840517241379,0.5068181818181818,"[[12, 17], [25, 39]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S3,svc_rbf_c0.5,307,93,"{""0"": 178, ""1"": 129}","{""0"": 29, ""1"": 64}",0.5053763440860215,0.5369073275862069,0.498358348968105,"[[18, 11], [35, 29]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S3,rf_leaf3,307,93,"{""0"": 178, ""1"": 129}","{""0"": 29, ""1"": 64}",0.5053763440860215,0.5463362068965517,0.5007002801120448,"[[19, 10], [36, 28]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S3,extra_leaf3,307,93,"{""0"": 178, ""1"": 129}","{""0"": 29, ""1"": 64}",0.4838709677419355,0.5307112068965517,0.48093023255813955,"[[19, 10], [38, 26]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S4,logistic_c0.1,364,36,"{""0"": 191, ""1"": 173}","{""0"": 16, ""1"": 20}",0.7222222222222222,0.70625,0.7077922077922079,"[[9, 7], [3, 17]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S4,logistic_c0.5,364,36,"{""0"": 191, ""1"": 173}","{""0"": 16, ""1"": 20}",0.7222222222222222,0.7,0.6989966555183946,"[[8, 8], [2, 18]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S4,svc_linearish,364,36,"{""0"": 191, ""1"": 173}","{""0"": 16, ""1"": 20}",0.75,0.71875,0.712511091393079,"[[7, 9], [0, 20]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S4,svc_rbf_c0.5,364,36,"{""0"": 191, ""1"": 173}","{""0"": 16, ""1"": 20}",0.6388888888888888,0.65,0.6386100386100386,"[[12, 4], [9, 11]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S4,rf_leaf3,364,36,"{""0"": 191, ""1"": 173}","{""0"": 16, ""1"": 20}",0.6388888888888888,0.65,0.6386100386100386,"[[12, 4], [9, 11]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S4,extra_leaf3,364,36,"{""0"": 191, ""1"": 173}","{""0"": 16, ""1"": 20}",0.6388888888888888,0.65,0.6386100386100386,"[[12, 4], [9, 11]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,random,,logistic_c0.1,210,90,"{""0"": 101, ""1"": 109}","{""0"": 43, ""1"": 47}",0.7,0.6949529935675408,0.6936073635102762,"[[25, 18], [9, 38]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,random,,logistic_c0.5,210,90,"{""0"": 101, ""1"": 109}","{""0"": 43, ""1"": 47}",0.6444444444444445,0.6417615042058387,0.6416127426580389,"[[25, 18], [14, 33]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,random,,svc_linearish,210,90,"{""0"": 101, ""1"": 109}","{""0"": 43, ""1"": 47}",0.6222222222222222,0.6204849084611579,0.6205357142857142,"[[25, 18], [16, 31]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,random,,svc_rbf_c0.5,210,90,"{""0"": 101, ""1"": 109}","{""0"": 43, ""1"": 47}",0.6333333333333333,0.6271647699158832,0.6228571428571428,"[[21, 22], [11, 36]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,random,,rf_leaf3,210,90,"{""0"": 101, ""1"": 109}","{""0"": 43, ""1"": 47}",0.7555555555555555,0.7501237011380505,0.7494939271255061,"[[27, 16], [6, 41]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,random,,extra_leaf3,210,90,"{""0"": 101, ""1"": 109}","{""0"": 43, ""1"": 47}",0.7,0.693963384463137,0.6914285714285714,"[[24, 19], [8, 39]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S1,logistic_c0.1,199,101,"{""0"": 81, ""1"": 118}","{""0"": 63, ""1"": 38}",0.594059405940594,0.5179615705931495,0.4989715668481549,"[[52, 11], [30, 8]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S1,logistic_c0.5,199,101,"{""0"": 81, ""1"": 118}","{""0"": 63, ""1"": 38}",0.6435643564356436,0.552422723475355,0.521578947368421,"[[58, 5], [31, 7]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S1,svc_linearish,199,101,"{""0"": 81, ""1"": 118}","{""0"": 63, ""1"": 38}",0.6633663366336634,0.5735171261487051,0.5481578947368421,"[[59, 4], [30, 8]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S1,svc_rbf_c0.5,199,101,"{""0"": 81, ""1"": 118}","{""0"": 63, ""1"": 38}",0.49504950495049505,0.5064745196324144,0.49186149748446284,"[[29, 34], [17, 21]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S1,rf_leaf3,199,101,"{""0"": 81, ""1"": 118}","{""0"": 63, ""1"": 38}",0.46534653465346537,0.4826649958228906,0.4640330188679245,"[[26, 37], [17, 21]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S1,extra_leaf3,199,101,"{""0"": 81, ""1"": 118}","{""0"": 63, ""1"": 38}",0.504950495049505,0.5248538011695907,0.5037342767295598,"[[28, 35], [15, 23]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S2,logistic_c0.1,203,97,"{""0"": 98, ""1"": 105}","{""0"": 46, ""1"": 51}",0.6391752577319587,0.6302216538789429,0.6231546231546231,"[[21, 25], [10, 41]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S2,logistic_c0.5,203,97,"{""0"": 98, ""1"": 105}","{""0"": 46, ""1"": 51}",0.6185567010309279,0.6159420289855072,0.6159443552701979,"[[26, 20], [17, 34]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S2,svc_linearish,203,97,"{""0"": 98, ""1"": 105}","{""0"": 46, ""1"": 51}",0.6082474226804123,0.605072463768116,0.6048456260720412,"[[25, 21], [17, 34]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S2,svc_rbf_c0.5,203,97,"{""0"": 98, ""1"": 105}","{""0"": 46, ""1"": 51}",0.5876288659793815,0.5684143222506394,0.5081135902636917,"[[9, 37], [3, 48]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S2,rf_leaf3,203,97,"{""0"": 98, ""1"": 105}","{""0"": 46, ""1"": 51}",0.6082474226804123,0.5954816709292412,0.5753456221198157,"[[16, 30], [8, 43]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S2,extra_leaf3,203,97,"{""0"": 98, ""1"": 105}","{""0"": 46, ""1"": 51}",0.5876288659793815,0.5726768968456948,0.540719696969697,"[[13, 33], [7, 44]]"
