crown_uid,area,crown_area_m2,species_clean,label_acacia_visual,label_acacia_species,label_acacia_clustering,pred_acacia_visual_model,prob_acacia_visual_model,model_confidence,model_cluster_disagree,uncertain,lon,lat,source_file,source_index,orig_crown_id
A2:crown_0126,A2,,Maha neem / Mahneem,-1,0,-1,0,0.4895073497485007,0.5104926502514993,False,True,77.19595389966918,28.54603204846576,A2_master.geojson,125,crown_0126
A3:crown_0041,A3,,,-1,-1,-1,0,0.489069810477769,0.510930189522231,False,True,77.19871150177917,28.54108944878027,A3_master.geojson,40,crown_0041
A1:crown_0058,A1,,,-1,-1,-1,0,0.48906336374781934,0.5109366362521807,False,True,77.19743887410571,28.54351559052186,A1_master.geojson,57,crown_0058
SIT:crown_0127,SIT,,,-1,-1,-1,0,0.48876779154126127,0.5112322084587387,False,True,77.19245388212117,28.545608680631467,sit_master(1).geojson,126,crown_0127
A3:crown_0095,A3,,Peepal,-1,0,-1,0,0.48863581149866026,0.5113641885013398,False,True,77.19878183390712,28.540907957932244,A3_master.geojson,94,crown_0095
SIT:crown_0078,SIT,,,-1,-1,-1,0,0.48842611634792166,0.5115738836520783,False,True,77.19218496560181,28.54601558332484,sit_master(1).geojson,77,crown_0078
A2:crown_0069,A2,,Banyan,-1,0,-1,0,0.4881464018855194,0.5118535981144806,False,True,77.19503212043467,28.544359085899533,A2_master.geojson,68,crown_0069
A2:crown_0127,A2,,,-1,-1,-1,0,0.48775446896916264,0.5122455310308374,False,True,77.19579441300101,28.545617041326093,A2_master.geojson,126,crown_0127
SV_S2:crown_0524,SV_S2,59.05649053953285,,-1,-1,1,1,0.5126778429519799,0.5126778429519799,False,True,77.17484339832278,28.528113364802326,s2_master_format.geojson,523,crown_0524
SIT:crown_0009,SIT,,Buddha's Coconut,-1,0,-1,1,0.5127230207015763,0.5127230207015763,False,True,77.1912586331854,28.545501174535165,sit_master(1).geojson,8,crown_0009
SIT:crown_0126,SIT,,,-1,-1,-1,0,0.4871339723232076,0.5128660276767925,False,True,77.19256190499213,28.54554433849428,sit_master(1).geojson,125,crown_0126
A1:crown_0150,A1,,,-1,-1,-1,0,0.4865274327405949,0.5134725672594052,False,True,77.19875166486011,28.54466412869896,A1_master.geojson,149,crown_0150
SV_S2:crown_0556,SV_S2,20.28429697086655,,-1,-1,0,0,0.48649915757339374,0.5135008424266063,False,True,77.17465922820266,28.52909109551873,s2_master_format.geojson,555,crown_0556
A1:crown_0154,A1,,,-1,-1,-1,0,0.48619245564222985,0.5138075443577701,False,True,77.19912720401425,28.5445383148199,A1_master.geojson,153,crown_0154
SV_S2:crown_0062,SV_S2,15.089808968111816,,-1,-1,1,0,0.48607037029826783,0.5139296297017322,True,True,77.17347947981709,28.52819713342806,s2_master_format.geojson,61,crown_0062
SV_S2:crown_0213,SV_S2,28.71743691350313,,-1,-1,1,0,0.48607037029826783,0.5139296297017322,True,True,77.17354080575936,28.52818804008916,s2_master_format.geojson,212,crown_0213
SIT:crown_0021,SIT,,Mandphali / Marodphali,-1,0,-1,0,0.4860548353108922,0.5139451646891078,False,True,77.19179498702866,28.545747671189734,sit_master(1).geojson,20,crown_0021
SIT:crown_0016,SIT,,Mandphali / Marodphali,-1,0,-1,0,0.4860548353108922,0.5139451646891078,False,True,77.1918308232328,28.54570057385621,sit_master(1).geojson,15,crown_0016
SV_S4:crown_0125,SV_S4,26.471721205573,,-1,-1,1,0,0.485932469367018,0.514067530632982,True,True,77.18325234657267,28.53319550511729,s4_master_format.geojson,124,crown_0125
SV_S2:crown_0572,SV_S2,23.055637412811137,,-1,-1,1,0,0.48582181136548114,0.5141781886345189,True,True,77.17470360013198,28.52941523509952,s2_master_format.geojson,571,crown_0572
SV_S3:crown_0450,SV_S3,15.359729265789673,,-1,-1,0,0,0.4857946198143174,0.5142053801856826,False,True,77.18636605658268,28.530378652926043,s3_master_format.geojson,449,crown_0450
SV_S3:crown_0089,SV_S3,36.18850174265104,,-1,-1,1,0,0.48573097010655203,0.514269029893448,True,True,77.18512227932257,28.53134919120384,s3_master_format.geojson,88,crown_0089
SV_S3:crown_0135,SV_S3,29.060331557083224,,-1,-1,1,0,0.48573097010655203,0.514269029893448,True,True,77.18505376019677,28.531316883533886,s3_master_format.geojson,134,crown_0135
SV_S2:crown_0197,SV_S2,56.92403821727225,,-1,-1,0,0,0.4856335568800247,0.5143664431199753,False,True,77.17364660467406,28.529363799818974,s2_master_format.geojson,196,crown_0197
SIT:crown_0077,SIT,,Palm tree,-1,0,-1,0,0.48562012191229104,0.5143798780877089,False,True,77.19201378994131,28.545981870046507,sit_master(1).geojson,76,crown_0077
A1:crown_0156,A1,,,-1,-1,-1,0,0.48561821004076355,0.5143817899592364,False,True,77.19891500575214,28.545006385523248,A1_master.geojson,155,crown_0156
SV_S2:crown_0101,SV_S2,8.926336833056263,,-1,-1,0,1,0.5143946896793036,0.5143946896793036,True,True,77.1730829577145,28.52910071280776,s2_master_format.geojson,100,crown_0101
SIT:crown_0027,SIT,,,-1,-1,-1,1,0.5147381182114632,0.5147381182114632,False,True,77.19170548715726,28.545239061139284,sit_master(1).geojson,26,crown_0027
SV_S1:crown_0329,SV_S1,14.110817354270685,,-1,-1,0,1,0.514814711602499,0.514814711602499,True,True,77.17626789584237,28.532140105876124,s1_master_format.geojson,328,crown_0329
SV_S1:crown_0257,SV_S1,19.898368239956717,,-1,-1,0,1,0.514814711602499,0.514814711602499,True,True,77.17626423859657,28.53213299364423,s1_master_format.geojson,256,crown_0257
SV_S1:crown_0042,SV_S1,18.967272665393487,,-1,-1,1,1,0.514814711602499,0.514814711602499,False,True,77.17631267194292,28.53214715723578,s1_master_format.geojson,41,crown_0042
SV_S1:crown_0019,SV_S1,19.999756865813584,,-1,-1,1,1,0.5148222580348301,0.5148222580348301,False,True,77.1762754177127,28.53203673307292,s1_master_format.geojson,18,crown_0019
